source_name,nb of posts fb,nb comments fb,nb posts insta,nb comments insta,nb posts tik,nb comm tik,nb of posts maps,nb comments maps,total posts,total comments
Express Sandwish,0,0,0,0,1,9,0,0,1,9
Flamingo,0,0,0,0,1,9,0,0,1,9
Fritecorner,0,0,0,0,1,9,0,0,1,9
Jungle Alger,0,0,0,0,1,9,0,0,1,9
Naps Oran,0,0,0,0,1,9,0,0,1,9
Neuf Food,0,0,0,0,1,9,0,0,1,9
Yaamy Test,0,0,0,0,1,9,0,0,1,9
Aminakai09,0,0,0,0,1,8,0,0,1,8
Bamboo Annaba,0,0,0,0,1,8,0,0,1,8
Chocolate Sarayi Algeria,0,0,1,8,0,0,0,0,1,8
Fondue 3Formages,0,0,0,0,1,8,0,0,1,8
Madisushioran,0,0,1,8,0,0,0,0,1,8
Mister N Alger,0,0,0,0,1,8,0,0,1,8
Said Chef,0,0,0,0,1,8,0,0,1,8
Saikosushi Oran,0,0,1,8,0,0,0,0,1,8
Sushiima,0,0,1,8,0,0,0,0,1,8
Taste Of India,0,0,0,0,1,8,0,0,1,8
Atlas Immo Annaba,0,0,0,0,1,7,0,0,1,7
Aymen Woody,0,0,0,0,1,7,0,0,1,7
Beef Cote,0,0,0,0,1,7,0,0,1,7
Cuisineofalgeria,0,0,0,0,1,7,0,0,1,7
Favelas Burgers,0,0,0,0,1,7,0,0,1,7
Khiteelrouh,0,0,0,0,1,7,0,0,1,7
Lepalace1,0,0,0,0,1,7,0,0,1,7
Mugi Burger,0,0,0,0,1,7,0,0,1,7
Rosa Astuce,0,0,0,0,1,7,0,0,1,7
Salimel9Obtan,0,0,0,0,1,7,0,0,1,7
Citoyennedumondedz,0,0,0,0,1,6,0,0,1,6
Dar Zellige Hydra,0,0,0,0,1,6,0,0,1,6
El Quina,0,0,0,0,1,6,0,0,1,6
Jnina Concept,0,0,0,0,1,6,0,0,1,6
Khayma Naqa,0,0,0,0,1,6,0,0,1,6
Leguidemichemiche,0,0,0,0,1,6,0,0,1,6
Luppinio,0,0,0,0,1,6,0,0,1,6
Nutellahouse15,0,0,1,6,0,0,0,0,1,6
Obaidafood1,0,0,0,0,1,6,0,0,1,6
Tastycroustydz15,0,0,0,0,1,6,0,0,1,6
Beitdh,0,0,0,0,1,5,0,0,1,5
Kokoriko,0,0,0,0,1,5,0,0,1,5
Lauthentic Oran,0,0,0,0,1,5,0,0,1,5
